fuelType,rating,location.city,location.country,location.state,owner.id,rate.daily,vehicle.make,vehicle.model,vehicle.type,vehicle.year
GASOLINE,4.74,Atlanta,US,GA,10250575,49,Toyota,Corolla,car,2020
GASOLINE,5,Peachtree City,US,GA,12096465,139,Porsche,Boxster,car,2015
ELECTRIC,4.77,Duluth,US,GA,6514411,149,Tesla,Model 3,car,2019
GASOLINE,4.51,Atlanta,US,GA,7221030,37,Mitsubishi,Mirage,car,2014
GASOLINE,5,Marietta,US,GA,1919268,180,Chevrolet,Corvette,car,2017
GASOLINE,4.88,Atlanta,US,GA,6482788,165,Porsche,Panamera,car,2016
DIESEL,5,Atlanta,US,GA,11454718,211,Land Rover,Range Rover,suv,2016
GASOLINE,4.87,Atlanta,US,GA,2052844,120,BMW,4 Series,car,2014
GASOLINE,4.92,Atlanta,US,GA,8752492,99,Lexus,IS 200t,car,2016
GASOLINE,5,Atlanta,US,GA,3792936,127,Chevrolet,Suburban,suv,2012
GASOLINE,4.86,Atlanta,US,GA,8444510,32,Nissan,Versa,car,2017
GASOLINE,5,Woodstock,US,GA,14354281,200,Maserati,Ghibli,car,2017
GASOLINE,5,Mableton,US,GA,217743,386,Jaguar,F-TYPE,car,2014
GASOLINE,5,Bremen,US,GA,15581324,94,BMW,4 Series,car,2015
GASOLINE,5,Atlanta,US,GA,511103,89,Dodge,Challenger,car,2019
GASOLINE,4.92,Atlanta,US,GA,10413163,137,Audi,A7,car,2017
GASOLINE,5,Newnan,US,GA,13728129,97,Ford,Mustang,car,2014
GASOLINE,5,Lithonia,US,GA,15031450,160,Maserati,Ghibli,car,2017
DIESEL,5,Douglasville,US,GA,14841812,108,Audi,Q7,suv,2015
GASOLINE,,Douglasville,US,GA,2530195,135,Acura,MDX,suv,2016
GASOLINE,5,Conyers,US,GA,15152803,128,Ford,Mustang,car,2018
ELECTRIC,5,Atlanta,US,GA,310752,167,Tesla,Model S,car,2015
GASOLINE,4.89,Decatur,US,GA,7363993,42,Hyundai,Accent,car,2017
GASOLINE,4.98,Atlanta,US,GA,511103,85,Dodge,Challenger,car,2018
GASOLINE,5,Atlanta,US,GA,6482788,130,Maserati,Ghibli,car,2015
ELECTRIC,4.89,Peachtree City,US,GA,1416567,115,Tesla,Model S,car,2013
,,Atlanta,US,GA,14917535,28,Kia,Rio,car,2020
GASOLINE,5,Atlanta,US,GA,10872556,48,Nissan,Altima,car,2018
ELECTRIC,,Mableton,US,GA,217743,350,Tesla,Model X,suv,2017
GASOLINE,5,Woodstock,US,GA,14354281,200,Mercedes-Benz,S-Class,car,2014
ELECTRIC,,Decatur,US,GA,270450,179,Tesla,Model 3,car,2018
GASOLINE,4.74,Atlanta,US,GA,10216804,48,Volkswagen,Jetta,car,2011
GASOLINE,5,Decatur,US,GA,15117491,64,Volkswagen,New Beetle,car,2008
GASOLINE,4.75,Atlanta,US,GA,6830247,172,Porsche,Cayenne,suv,2017
GASOLINE,5,Atlanta,US,GA,3665954,150,Chevrolet,Silverado 1500,truck,2017
ELECTRIC,4.83,Duluth,US,GA,8655954,149,Tesla,Model 3,car,2020
HYBRID,4.77,east point,US,GA,4782598,44,Kia,Optima,car,2016
GASOLINE,4.9,Atlanta,US,GA,6482788,120,Porsche,Macan,suv,2017
GASOLINE,5,Fairburn,US,GA,12029322,38,Kia,Sorento,suv,2014
GASOLINE,5,Stone Mountain,US,GA,5253132,82,Jeep,Wrangler,suv,2017
GASOLINE,,Atlanta,US,GA,4726027,112,GMC,Yukon XL,suv,2019
GASOLINE,5,Norcross,US,GA,5586320,149,Porsche,Boxster,car,2015
GASOLINE,5,Smyrna,US,GA,1740878,80,Lexus,IS,car,2020
GASOLINE,4.63,Atlanta,US,GA,507900,39,Nissan,Versa Note,car,2015
GASOLINE,4.86,Atlanta,US,GA,6482788,120,Mercedes-Benz,CLS-Class,car,2016
GASOLINE,,Atlanta,US,GA,8814550,87,Dodge,Charger,car,2020
GASOLINE,5,Lithia Springs,US,GA,9218210,35,Kia,Soul,car,2014
GASOLINE,4.78,Atlanta,US,GA,1426383,35,Volkswagen,Passat,car,2015
GASOLINE,4.81,Atlanta,US,GA,507900,51,Nissan,Altima,car,2016
GASOLINE,4.96,Atlanta,US,GA,6580855,40,Hyundai,Elantra,car,2019
GASOLINE,5,Atlanta,US,GA,511103,89,Jeep,Grand Cherokee,suv,2019
GASOLINE,5,Smyrna,US,GA,11312622,72,MINI,Cooper,car,2015
GASOLINE,5,Dunwoody,US,GA,511103,89,Jeep,Grand Cherokee,suv,2017
GASOLINE,4.84,Atlanta,US,GA,10216804,40,Volkswagen,Passat,car,2012
HYBRID,5,Atlanta,US,GA,12800611,600,BMW,i8,car,2016
GASOLINE,4.89,Sandy Springs,US,GA,1251177,199,Land Rover,Range Rover Velar,suv,2018
ELECTRIC,5,Mableton,US,GA,217743,265,Tesla,Model 3,car,2020
ELECTRIC,5,Dunwoody,US,GA,8691695,200,Tesla,Model 3,car,2020
ELECTRIC,4.79,Atlanta,US,GA,6482788,120,Tesla,Model S,car,2013
HYBRID,4.83,East Point,US,GA,4782598,39,Toyota,Prius,car,2010
GASOLINE,4.94,Atlanta,US,GA,10413163,85,Mercedes-Benz,E-Class,car,2016
GASOLINE,4.79,Atlanta,US,GA,1426383,57,BMW,X5,suv,2009
GASOLINE,5,Atlanta,US,GA,1891792,57,Jeep,Compass,suv,2018
GASOLINE,5,Douglasville,US,GA,5133548,226,Polaris,Slingshot,car,2017
GASOLINE,4.86,Decatur,US,GA,7363993,44,Chevrolet,Cruze,car,2017
GASOLINE,4.97,Atlanta,US,GA,10413163,112,Jeep,Wrangler Unlimited,suv,2019
GASOLINE,4.67,Sandy Springs,US,GA,15346119,148,Chevrolet,Camaro,car,2015
GASOLINE,5,Atlanta,US,GA,5801653,153,Mercedes-Benz,E-Class,car,2014
GASOLINE,4.8,Sugar Hill,US,GA,6939498,74,Chrysler,300,car,2018
GASOLINE,4.69,Sandy Springs,US,GA,1251177,269,Maserati,Levante,suv,2020
GASOLINE,4.86,Atlanta,US,GA,7725344,129,Mercedes-Benz,E-Class,car,2012
GASOLINE,4.95,Atlanta,US,GA,10167863,84,Jeep,Wrangler,suv,2017
GASOLINE,5,Marietta,US,GA,14953193,58,Hyundai,Genesis,car,2014
GASOLINE,,Atlanta,US,GA,1057995,150,BMW,X5,suv,2015
GASOLINE,4.9,Atlanta,US,GA,1426383,33,Nissan,Sentra,car,2017
GASOLINE,4.86,Decatur,US,GA,1661563,50,Toyota,Camry,car,2017
GASOLINE,4.67,Atlanta,US,GA,1426383,47,BMW,3 Series,car,2011
GASOLINE,4.89,Marietta,US,GA,15185267,50,Toyota,RAV4,suv,2017
GASOLINE,,Stockbridge,US,GA,10439598,150,Chevrolet,Tahoe,suv,2015
GASOLINE,5,Suwanee,US,GA,312450,99,Mazda,MX-5 Miata,car,2016
GASOLINE,5,Conyers,US,GA,15693009,71,Dodge,Grand Caravan,minivan,2016
GASOLINE,4.86,Decatur,US,GA,1661563,56,Toyota,Camry,car,2018
GASOLINE,,Powder Springs,US,GA,8952295,140,BMW,X4,suv,2020
GASOLINE,5,Lithonia,US,GA,7363993,45,Chevrolet,Cruze,car,2017
HYBRID,4.81,Decatur,US,GA,1661563,64,Lexus,HS 250h,car,2010
GASOLINE,4.72,Atlanta,US,GA,7221030,70,Audi,A4,car,2012
GASOLINE,4.92,Forest Park,US,GA,1727097,52,Kia,Optima,car,2013
GASOLINE,5,Decatur,US,GA,1661563,60,Toyota,Sienna,minivan,2012
,,Stone Mountain,US,GA,5162679,67,Toyota,Camry,car,2020
GASOLINE,5,Atlanta,US,GA,15622497,48,Jeep,Patriot,suv,2015
GASOLINE,5,Decatur,US,GA,14910142,132,Mercedes-Benz,CLA-Class,car,2018
GASOLINE,4.9,Decatur,US,GA,1661563,54,Toyota,Camry,car,2018
GASOLINE,4.88,Norcross,US,GA,3698495,63,Ford,Escape,suv,2017
GASOLINE,4.83,Decatur,US,GA,1661563,54,Toyota,Camry,car,2017
GASOLINE,5,Sandy Springs,US,GA,14634339,176,Chevrolet,Suburban,suv,2019
GASOLINE,4.97,McDonough,US,GA,10244672,90,Lexus,IS 250,car,2015
GASOLINE,4.87,Norcross,US,GA,3698495,62,Ford,Focus,car,2018
ELECTRIC,5,McDonough,US,GA,7934891,800,Tesla,Model X,suv,2019
,5,Atlanta,US,GA,1886829,299,Land Rover,Range Rover,suv,2020
,4.8,Duluth,US,GA,886557,216,Audi,A8,car,2015
GASOLINE,4.91,Atlanta,US,GA,3659271,99,BMW,4 Series Gran Coupe,car,2016
GASOLINE,4.86,Covington,US,GA,1238898,50,Nissan,Altima,car,2015
GASOLINE,5,Marietta ,US,GA,735348,125,Ford,F-150,truck,2019
GASOLINE,4.73,Decatur,US,GA,1661563,45,Toyota,Yaris iA,car,2017
GASOLINE,4.7,Atlanta,US,GA,7221030,50,Buick,LaCrosse,car,2016
GASOLINE,5,Snellville,US,GA,308839,53,Acura,TSX,car,2011
GASOLINE,4.85,McDonough,US,GA,10244672,90,Lexus,IS 250,car,2015
GASOLINE,4.73,Atlanta,US,GA,7221030,58,Volkswagen,Tiguan,suv,2011
HYBRID,4.88,Decatur,US,GA,1661563,43,Toyota,Camry,car,2008
GASOLINE,,Stonecrest,US,GA,15739167,103,Lexus,IS 250,car,2014
GASOLINE,4.88,Snellville ,US,GA,308839,52,Acura,TSX,car,2011
HYBRID,4.86,Austin,US,TX,4353395,37,Toyota,Prius v,car,2012
GASOLINE,4.98,Austin,US,TX,988215,38,Volkswagen,Jetta,car,2017
GASOLINE,4.97,Austin,US,TX,10089647,35,Kia,Soul,car,2018
GASOLINE,4.81,Austin,US,TX,8421016,37,Hyundai,Elantra,car,2015
HYBRID,4.99,Austin,US,TX,4353395,35,Toyota,Prius,car,2010
HYBRID,4.91,Austin,US,TX,4353395,35,Toyota,Prius,car,2010
HYBRID,4.86,Austin,US,TX,4353395,35,Lexus,HS 250h,car,2011
GASOLINE,,Austin,US,TX,14404790,35,FIAT,500,car,2012
GASOLINE,5,Austin,US,TX,7095382,24,Kia,Rio,car,2009
HYBRID,4.9,Austin,US,TX,4353395,31,Toyota,Prius,car,2010
GASOLINE,4.63,Del Valle,US,TX,11279587,32,Honda,Accord,car,2011
HYBRID,4.95,Austin,US,TX,4353395,41,Lexus,CT 200h,car,2012
GASOLINE,4.95,Del Valle,US,TX,11279587,58,BMW,5 Series,car,2016
GASOLINE,5,Austin,US,TX,914019,42,BMW,3 Series,car,2011
GASOLINE,4.92,Austin,US,TX,914019,43,Mercedes-Benz,C-Class,car,2009
GASOLINE,4.92,Austin,US,TX,5343023,34,FIAT,500,car,2013
GASOLINE,4.8,Austin,US,TX,8421016,49,BMW,3 Series,car,2016
GASOLINE,4.98,Austin,US,TX,8793776,59,Mercedes-Benz,CLA-Class,car,2015
HYBRID,,Austin,US,TX,4353395,38,Lexus,CT 200h,car,2012
GASOLINE,5,Austin,US,TX,914019,43,BMW,X1,suv,2013
GASOLINE,5,Austin,US,TX,914019,43,BMW,3 Series,car,2009
GASOLINE,4.95,Austin,US,TX,14602921,58,Mercedes-Benz,CLA-Class,car,2017
GASOLINE,5,Austin,US,TX,10089647,37,Hyundai,Elantra GT,car,2017
GASOLINE,4.92,Austin,US,TX,8421016,35,Hyundai,Sonata,car,2019
HYBRID,3.86,Del Valle,US,TX,11279587,31,Toyota,Prius c,car,2012
GASOLINE,4.95,Manor,US,TX,9046223,99,Alfa-romeo,Giulia,car,2019
GASOLINE,5,Austin,US,TX,9463179,89,GMC,Sierra 1500,truck,2016
GASOLINE,5,Manor,US,TX,13858730,60,Chevrolet,Camaro,car,2018
ELECTRIC,5,Cedar Park,US,TX,1351290,175,Tesla,Model X,suv,2017
GASOLINE,5,Austin,US,TX,914019,32,Toyota,Yaris,car,2008
GASOLINE,5,Austin,US,TX,7376797,107,BMW,5 Series,car,2018
GASOLINE,5,Austin,US,TX,10147412,105,Porsche,Boxster,car,2014
GASOLINE,4.87,Manor,US,TX,9046223,80,Mercedes-Benz,CLA-Class,car,2018
GASOLINE,4.91,Austin,US,TX,8755908,69,Mercedes-benz,GLC-Class,suv,2019
GASOLINE,4.89,Austin,US,TX,988215,39,Chevrolet,Trax,suv,2018
GASOLINE,5,Austin,US,TX,4471592,91,Chevrolet,Corvette,car,2007
GASOLINE,5,Austin,US,TX,7649574,55,BMW,4 Series,car,2018
GASOLINE,5,Austin,US,TX,2130021,70,Mercedes-Benz,C-Class,car,2016
GASOLINE,5,Round Rock,US,TX,5880880,56,Land Rover,Range Rover Evoque,suv,2015
GASOLINE,4.85,Austin,US,TX,6510847,31,Nissan,Sentra,car,2017
GASOLINE,5,Austin,US,TX,5793069,126,Ford,Mustang,car,2016
GASOLINE,4.93,Manor,US,TX,9046223,80,Mercedes-Benz,CLA-Class,car,2017
ELECTRIC,4.96,Leander,US,TX,10817313,121,Tesla,Model 3,car,2020
ELECTRIC,5,Round Rock,US,TX,11986021,70,Tesla,Model 3,car,2020
GASOLINE,5,Austin,US,TX,9113625,35,Ford,Mustang,car,2014
GASOLINE,5,Austin,US,TX,15054209,135,Mercedes-Benz,SL-Class,car,2017
GASOLINE,5,Austin,US,TX,7107554,75,Audi,S5,car,2015
ELECTRIC,4.83,Lakeway,US,TX,3037579,199,Tesla,Model S,car,2018
HYBRID,4.79,Austin,US,TX,2693957,31,Toyota,Prius,car,2008
GASOLINE,,Austin,US,TX,7107554,175,BMW,M4,car,2016
GASOLINE,5,Austin,US,TX,1849874,59,Volkswagen,Atlas Cross Sport,suv,2020
GASOLINE,4.95,Austin,US,TX,4022601,129,Chevrolet,Corvette,car,2019
GASOLINE,5,Leander,US,TX,10817313,96,Polaris,Slingshot,car,2019
GASOLINE,5,Round Rock,US,TX,4738959,87,Dodge,Challenger,car,2015
GASOLINE,5,Round Rock,US,TX,268973,60,Ford,Mustang,car,2018
GASOLINE,5,Austin,US,TX,4022601,199,Dodge,Challenger,car,2019
GASOLINE,5,Austin,US,TX,11222799,95,Mercedes-benz,GLC-Class,suv,2019
GASOLINE,4.87,Austin,US,TX,305300,60,Toyota,4Runner,suv,2016
ELECTRIC,4.85,Round Rock,US,TX,1351290,99,Tesla,Model 3,car,2018
ELECTRIC,,Cedar Park,US,TX,1351290,250,Tesla,Model Y,suv,2020
GASOLINE,4.75,Austin,US,TX,4742782,99,Porsche,Cayenne,suv,2014
GASOLINE,5,Round Rock,US,TX,10240102,85,BMW,5 Series,car,2014
GASOLINE,,Austin,US,TX,9921706,66,Mercedes-benz,C-Class,car,2019
GASOLINE,4.99,Austin,US,TX,526216,79,Mercedes-Benz,E-Class,car,2017
GASOLINE,5,Austin,US,TX,526216,149,Chevrolet,Corvette,car,2019
ELECTRIC,5,Cedar Park,US,TX,1351290,84,Tesla,Model 3,car,2019
HYBRID,5,Austin,US,TX,1432343,169,Land Rover,Range Rover Sport,suv,2020
GASOLINE,5,Austin,US,TX,14821685,65,Audi,TTS,car,2010
HYBRID,4.82,Del Valle,US,TX,226203,29,Toyota,Prius,car,2009
GASOLINE,4.66,Del Valle,US,TX,226203,29,Lexus,ES 350,car,2009
GASOLINE,4.97,Austin,US,TX,526216,79,Toyota,Sequoia,suv,2018
GASOLINE,4.7,Del Valle,US,TX,226203,29,Toyota,Camry,car,2010
GASOLINE,4.98,Cedar Park,US,TX,2205924,42,Toyota,Camry,car,2017
GASOLINE,5,Austin,US,TX,15054209,89,BMW,X6,suv,2016
GASOLINE,5,Austin,US,TX,15215074,230,Maserati,Ghibli,car,2019
GASOLINE,4.93,Cedar Park,US,TX,1351290,72,Lincoln,Navigator,suv,2016
GASOLINE,,Austin,US,TX,2907482,79,Acura,MDX,suv,2016
GASOLINE,5,Austin,US,TX,2693957,39,Chevrolet,Equinox,suv,2019
GASOLINE,4.8,Cedar Park,US,TX,2205924,46,Honda,Accord Sedan,car,2019
ELECTRIC,5,Austin,US,TX,2401031,100,Tesla,Model 3,car,2018
GASOLINE,5,Bastrop,US,TX,8907527,62,Honda,Ridgeline,truck,2014
GASOLINE,4.95,Austin,US,TX,3595768,60,Ford,F-150,truck,2014
GASOLINE,4.97,Cedar Park,US,TX,2205924,60,Toyota,Highlander,suv,2019
GASOLINE,5,Round Rock,US,TX,3796227,120,Mercedes-Benz,S-Class,car,2013
ELECTRIC,4.97,Austin,US,TX,4722830,99,Tesla,Model 3,car,2020
ELECTRIC,5,Round Rock,US,TX,1698554,475,Tesla,Model X,suv,2018
GASOLINE,5,Austin,US,TX,11555570,64,BMW,X5,suv,2012
HYBRID,4.48,Del Valle,US,TX,226203,29,Toyota,Prius,car,2009
GASOLINE,4.95,Austin,US,TX,4742782,79,Mercedes-Benz,GL-Class,suv,2012
GASOLINE,,Cedar Park,US,TX,1351290,110,Chevrolet,Suburban,suv,2020
GASOLINE,4.93,Austin,US,TX,6510847,29,FIAT,500,car,2012
